ws_KiB,stride,pattern,repeats,cycles,bytes
ws_KiB=32,stride=1,pattern=0,repeats=5,cycles=52592,bytes=491520
ws_KiB=32,stride=16,pattern=0,repeats=5,cycles=52326,bytes=491520
ws_KiB=32,stride=64,pattern=0,repeats=5,cycles=52060,bytes=491520
ws_KiB=32,stride=256,pattern=0,repeats=5,cycles=53086,bytes=491520
ws_KiB=32,stride=1,pattern=1,repeats=5,cycles=234422,bytes=491520
ws_KiB=32,stride=16,pattern=1,repeats=5,cycles=231990,bytes=491520
ws_KiB=32,stride=64,pattern=1,repeats=5,cycles=227164,bytes=491520
ws_KiB=32,stride=256,pattern=1,repeats=5,cycles=365712,bytes=491520
ws_KiB=32,stride=1,pattern=2,repeats=5,cycles=1148816,bytes=491520
ws_KiB=32,stride=16,pattern=2,repeats=5,cycles=1052752,bytes=491520
ws_KiB=32,stride=64,pattern=2,repeats=5,cycles=951900,bytes=491520
ws_KiB=32,stride=256,pattern=2,repeats=5,cycles=936700,bytes=491520
ws_KiB=128,stride=1,pattern=0,repeats=5,cycles=208810,bytes=1966080
ws_KiB=128,stride=16,pattern=0,repeats=5,cycles=206948,bytes=1966080
ws_KiB=128,stride=64,pattern=0,repeats=5,cycles=205694,bytes=1966080
ws_KiB=128,stride=256,pattern=0,repeats=5,cycles=209950,bytes=1966080
ws_KiB=128,stride=1,pattern=1,repeats=5,cycles=903412,bytes=1966080
ws_KiB=128,stride=16,pattern=1,repeats=5,cycles=925490,bytes=1966080
ws_KiB=128,stride=64,pattern=1,repeats=5,cycles=912836,bytes=1966080
ws_KiB=128,stride=256,pattern=1,repeats=5,cycles=2586964,bytes=1966080
ws_KiB=128,stride=1,pattern=2,repeats=5,cycles=4615708,bytes=1966080
ws_KiB=128,stride=16,pattern=2,repeats=5,cycles=4794154,bytes=1966080
ws_KiB=128,stride=64,pattern=2,repeats=5,cycles=4453030,bytes=1966080
ws_KiB=128,stride=256,pattern=2,repeats=5,cycles=4416968,bytes=1966080
ws_KiB=512,stride=1,pattern=0,repeats=5,cycles=840370,bytes=7864320
ws_KiB=512,stride=16,pattern=0,repeats=5,cycles=831288,bytes=7864320
ws_KiB=512,stride=64,pattern=0,repeats=5,cycles=814872,bytes=7864320
ws_KiB=512,stride=256,pattern=0,repeats=5,cycles=818178,bytes=7864320
ws_KiB=512,stride=1,pattern=1,repeats=5,cycles=3643706,bytes=7864320
ws_KiB=512,stride=16,pattern=1,repeats=5,cycles=3708800,bytes=7864320
ws_KiB=512,stride=64,pattern=1,repeats=5,cycles=4212832,bytes=7864320
ws_KiB=512,stride=256,pattern=1,repeats=5,cycles=8711234,bytes=7864320
ws_KiB=512,stride=1,pattern=2,repeats=5,cycles=19523108,bytes=7864320
ws_KiB=512,stride=16,pattern=2,repeats=5,cycles=20371154,bytes=7864320
ws_KiB=512,stride=64,pattern=2,repeats=5,cycles=20187690,bytes=7864320
ws_KiB=512,stride=256,pattern=2,repeats=5,cycles=20605538,bytes=7864320
ws_KiB=4096,stride=1,pattern=0,repeats=5,cycles=6663680,bytes=62914560
ws_KiB=4096,stride=16,pattern=0,repeats=5,cycles=6628644,bytes=62914560
ws_KiB=4096,stride=64,pattern=0,repeats=5,cycles=6819138,bytes=62914560
ws_KiB=4096,stride=256,pattern=0,repeats=5,cycles=6864434,bytes=62914560
ws_KiB=4096,stride=1,pattern=1,repeats=5,cycles=30277374,bytes=62914560
ws_KiB=4096,stride=16,pattern=1,repeats=5,cycles=32130633,bytes=62914560
ws_KiB=4096,stride=64,pattern=1,repeats=5,cycles=35375987,bytes=62914560
ws_KiB=4096,stride=256,pattern=1,repeats=5,cycles=88820572,bytes=62914560
ws_KiB=4096,stride=1,pattern=2,repeats=5,cycles=367042151,bytes=62914560
ws_KiB=4096,stride=16,pattern=2,repeats=5,cycles=219035761,bytes=62914560
ws_KiB=4096,stride=64,pattern=2,repeats=5,cycles=228116849,bytes=62914560
ws_KiB=4096,stride=256,pattern=2,repeats=5,cycles=282228166,bytes=62914560
ws_KiB=32768,stride=1,pattern=0,repeats=5,cycles=87991698,bytes=503316480
ws_KiB=32768,stride=16,pattern=0,repeats=5,cycles=89476073,bytes=503316480
ws_KiB=32768,stride=64,pattern=0,repeats=5,cycles=85873656,bytes=503316480
ws_KiB=32768,stride=256,pattern=0,repeats=5,cycles=88071422,bytes=503316480
ws_KiB=32768,stride=1,pattern=1,repeats=5,cycles=242025342,bytes=503316480
ws_KiB=32768,stride=16,pattern=1,repeats=5,cycles=1045615486,bytes=503316480
ws_KiB=32768,stride=64,pattern=1,repeats=5,cycles=1278515947,bytes=503316480
ws_KiB=32768,stride=256,pattern=1,repeats=5,cycles=1158058415,bytes=503316480
ws_KiB=32768,stride=1,pattern=2,repeats=5,cycles=8116690959,bytes=503316480
ws_KiB=32768,stride=16,pattern=2,repeats=5,cycles=8025496224,bytes=503316480
ws_KiB=32768,stride=64,pattern=2,repeats=5,cycles=8260862580,bytes=503316480
ws_KiB=32768,stride=256,pattern=2,repeats=5,cycles=7732755545,bytes=503316480
ws_KiB=262144,stride=1,pattern=0,repeats=5,cycles=1034858635,bytes=4026531840
ws_KiB=262144,stride=16,pattern=0,repeats=5,cycles=1043434874,bytes=4026531840
ws_KiB=262144,stride=64,pattern=0,repeats=5,cycles=1028028515,bytes=4026531840
ws_KiB=262144,stride=256,pattern=0,repeats=5,cycles=983289159,bytes=4026531840
ws_KiB=262144,stride=1,pattern=1,repeats=5,cycles=2150192758,bytes=4026531840
ws_KiB=262144,stride=16,pattern=1,repeats=5,cycles=11255370520,bytes=4026531840
ws_KiB=262144,stride=64,pattern=1,repeats=5,cycles=13533184796,bytes=4026531840
ws_KiB=262144,stride=256,pattern=1,repeats=5,cycles=16350444301,bytes=4026531840
ws_KiB=262144,stride=1,pattern=2,repeats=5,cycles=89895575767,bytes=4026531840
ws_KiB=262144,stride=16,pattern=2,repeats=5,cycles=89897143895,bytes=4026531840
ws_KiB=262144,stride=64,pattern=2,repeats=5,cycles=91570779471,bytes=4026531840
ws_KiB=262144,stride=256,pattern=2,repeats=5,cycles=90616085634,bytes=4026531840
ws_KiB=32,stride=1,pattern=0,repeats=5,cycles=51984,bytes=491520
ws_KiB=32,stride=16,pattern=0,repeats=5,cycles=51376,bytes=491520
ws_KiB=32,stride=64,pattern=0,repeats=5,cycles=51072,bytes=491520
ws_KiB=32,stride=256,pattern=0,repeats=5,cycles=52250,bytes=491520
ws_KiB=32,stride=1,pattern=1,repeats=5,cycles=245784,bytes=491520
ws_KiB=32,stride=16,pattern=1,repeats=5,cycles=228304,bytes=491520
ws_KiB=32,stride=64,pattern=1,repeats=5,cycles=228304,bytes=491520
ws_KiB=32,stride=256,pattern=1,repeats=5,cycles=409564,bytes=491520
ws_KiB=32,stride=1,pattern=2,repeats=5,cycles=939398,bytes=491520
ws_KiB=32,stride=16,pattern=2,repeats=5,cycles=953800,bytes=491520
ws_KiB=32,stride=64,pattern=2,repeats=5,cycles=1119442,bytes=491520
ws_KiB=32,stride=256,pattern=2,repeats=5,cycles=947986,bytes=491520
ws_KiB=128,stride=1,pattern=0,repeats=5,cycles=208164,bytes=1966080
ws_KiB=128,stride=16,pattern=0,repeats=5,cycles=203794,bytes=1966080
ws_KiB=128,stride=64,pattern=0,repeats=5,cycles=202350,bytes=1966080
ws_KiB=128,stride=256,pattern=0,repeats=5,cycles=204326,bytes=1966080
ws_KiB=128,stride=1,pattern=1,repeats=5,cycles=927884,bytes=1966080
ws_KiB=128,stride=16,pattern=1,repeats=5,cycles=977854,bytes=1966080
ws_KiB=128,stride=64,pattern=1,repeats=5,cycles=979260,bytes=1966080
ws_KiB=128,stride=256,pattern=1,repeats=5,cycles=2136322,bytes=1966080
ws_KiB=128,stride=1,pattern=2,repeats=5,cycles=4507028,bytes=1966080
ws_KiB=128,stride=16,pattern=2,repeats=5,cycles=4548904,bytes=1966080
ws_KiB=128,stride=64,pattern=2,repeats=5,cycles=4960102,bytes=1966080
ws_KiB=128,stride=256,pattern=2,repeats=5,cycles=4728682,bytes=1966080
ws_KiB=512,stride=1,pattern=0,repeats=5,cycles=835544,bytes=7864320
ws_KiB=512,stride=16,pattern=0,repeats=5,cycles=813580,bytes=7864320
ws_KiB=512,stride=64,pattern=0,repeats=5,cycles=1215278,bytes=7864320
ws_KiB=512,stride=256,pattern=0,repeats=5,cycles=823992,bytes=7864320
ws_KiB=512,stride=1,pattern=1,repeats=5,cycles=3708800,bytes=7864320
ws_KiB=512,stride=16,pattern=1,repeats=5,cycles=3653016,bytes=7864320
ws_KiB=512,stride=64,pattern=1,repeats=5,cycles=3794072,bytes=7864320
ws_KiB=512,stride=256,pattern=1,repeats=5,cycles=9300804,bytes=7864320
ws_KiB=512,stride=1,pattern=2,repeats=5,cycles=23441782,bytes=7864320
ws_KiB=512,stride=16,pattern=2,repeats=5,cycles=21382563,bytes=7864320
ws_KiB=512,stride=64,pattern=2,repeats=5,cycles=19736402,bytes=7864320
ws_KiB=512,stride=256,pattern=2,repeats=5,cycles=23695470,bytes=7864320
ws_KiB=4096,stride=1,pattern=0,repeats=5,cycles=6814046,bytes=62914560
ws_KiB=4096,stride=16,pattern=0,repeats=5,cycles=6559446,bytes=62914560
ws_KiB=4096,stride=64,pattern=0,repeats=5,cycles=6941574,bytes=62914560
ws_KiB=4096,stride=256,pattern=0,repeats=5,cycles=6815148,bytes=62914560
ws_KiB=4096,stride=1,pattern=1,repeats=5,cycles=30157710,bytes=62914560
ws_KiB=4096,stride=16,pattern=1,repeats=5,cycles=30995422,bytes=62914560
ws_KiB=4096,stride=64,pattern=1,repeats=5,cycles=34032838,bytes=62914560
ws_KiB=4096,stride=256,pattern=1,repeats=5,cycles=82673370,bytes=62914560
ws_KiB=4096,stride=1,pattern=2,repeats=5,cycles=239873824,bytes=62914560
ws_KiB=4096,stride=16,pattern=2,repeats=5,cycles=249435971,bytes=62914560
ws_KiB=4096,stride=64,pattern=2,repeats=5,cycles=232799704,bytes=62914560
ws_KiB=4096,stride=256,pattern=2,repeats=5,cycles=227140196,bytes=62914560
ws_KiB=32768,stride=1,pattern=0,repeats=5,cycles=81197605,bytes=503316480
ws_KiB=32768,stride=16,pattern=0,repeats=5,cycles=86326520,bytes=503316480
ws_KiB=32768,stride=64,pattern=0,repeats=5,cycles=78970535,bytes=503316480
ws_KiB=32768,stride=256,pattern=0,repeats=5,cycles=84857192,bytes=503316480
ws_KiB=32768,stride=1,pattern=1,repeats=5,cycles=246502979,bytes=503316480
ws_KiB=32768,stride=16,pattern=1,repeats=5,cycles=1053854283,bytes=503316480
ws_KiB=32768,stride=64,pattern=1,repeats=5,cycles=1285788730,bytes=503316480
ws_KiB=32768,stride=256,pattern=1,repeats=5,cycles=1224381547,bytes=503316480
ws_KiB=32768,stride=1,pattern=2,repeats=5,cycles=9495705009,bytes=503316480
ws_KiB=32768,stride=16,pattern=2,repeats=5,cycles=8638423378,bytes=503316480
ws_KiB=32768,stride=64,pattern=2,repeats=5,cycles=7927354228,bytes=503316480
ws_KiB=32768,stride=256,pattern=2,repeats=5,cycles=8446880923,bytes=503316480
ws_KiB=262144,stride=1,pattern=0,repeats=5,cycles=1085439847,bytes=4026531840
ws_KiB=262144,stride=16,pattern=0,repeats=5,cycles=1071109816,bytes=4026531840
ws_KiB=262144,stride=64,pattern=0,repeats=5,cycles=956363365,bytes=4026531840
ws_KiB=262144,stride=256,pattern=0,repeats=5,cycles=1017083205,bytes=4026531840
ws_KiB=262144,stride=1,pattern=1,repeats=5,cycles=2172481924,bytes=4026531840
ws_KiB=262144,stride=16,pattern=1,repeats=5,cycles=12335784276,bytes=4026531840
ws_KiB=262144,stride=64,pattern=1,repeats=5,cycles=15288156276,bytes=4026531840
ws_KiB=262144,stride=256,pattern=1,repeats=5,cycles=17550496289,bytes=4026531840
ws_KiB=262144,stride=1,pattern=2,repeats=5,cycles=92161793471,bytes=4026531840
ws_KiB=262144,stride=16,pattern=2,repeats=5,cycles=91199918910,bytes=4026531840
ws_KiB=262144,stride=64,pattern=2,repeats=5,cycles=92646728039,bytes=4026531840
ws_KiB=262144,stride=256,pattern=2,repeats=5,cycles=93071447789,bytes=4026531840
ws_KiB=32,stride=1,pattern=0,repeats=5,cycles=64562,bytes=491520
ws_KiB=32,stride=16,pattern=0,repeats=5,cycles=52592,bytes=491520
ws_KiB=32,stride=64,pattern=0,repeats=5,cycles=52630,bytes=491520
ws_KiB=32,stride=256,pattern=0,repeats=5,cycles=52516,bytes=491520
ws_KiB=32,stride=1,pattern=1,repeats=5,cycles=231952,bytes=491520
ws_KiB=32,stride=16,pattern=1,repeats=5,cycles=231952,bytes=491520
ws_KiB=32,stride=64,pattern=1,repeats=5,cycles=233624,bytes=491520
ws_KiB=32,stride=256,pattern=1,repeats=5,cycles=391172,bytes=491520
ws_KiB=32,stride=1,pattern=2,repeats=5,cycles=943502,bytes=491520
ws_KiB=32,stride=16,pattern=2,repeats=5,cycles=948556,bytes=491520
ws_KiB=32,stride=64,pattern=2,repeats=5,cycles=1130918,bytes=491520
ws_KiB=32,stride=256,pattern=2,repeats=5,cycles=924882,bytes=491520
ws_KiB=128,stride=1,pattern=0,repeats=5,cycles=208620,bytes=1966080
ws_KiB=128,stride=16,pattern=0,repeats=5,cycles=258400,bytes=1966080
ws_KiB=128,stride=64,pattern=0,repeats=5,cycles=210216,bytes=1966080
ws_KiB=128,stride=256,pattern=0,repeats=5,cycles=210140,bytes=1966080
ws_KiB=128,stride=1,pattern=1,repeats=5,cycles=952698,bytes=1966080
ws_KiB=128,stride=16,pattern=1,repeats=5,cycles=939512,bytes=1966080
ws_KiB=128,stride=64,pattern=1,repeats=5,cycles=922602,bytes=1966080
ws_KiB=128,stride=256,pattern=1,repeats=5,cycles=2101134,bytes=1966080
ws_KiB=128,stride=1,pattern=2,repeats=5,cycles=5054228,bytes=1966080
ws_KiB=128,stride=16,pattern=2,repeats=5,cycles=4469598,bytes=1966080
ws_KiB=128,stride=64,pattern=2,repeats=5,cycles=4549474,bytes=1966080
ws_KiB=128,stride=256,pattern=2,repeats=5,cycles=4592186,bytes=1966080
ws_KiB=512,stride=1,pattern=0,repeats=5,cycles=813542,bytes=7864320
ws_KiB=512,stride=16,pattern=0,repeats=5,cycles=817798,bytes=7864320
ws_KiB=512,stride=64,pattern=0,repeats=5,cycles=818064,bytes=7864320
ws_KiB=512,stride=256,pattern=0,repeats=5,cycles=839762,bytes=7864320
ws_KiB=512,stride=1,pattern=1,repeats=5,cycles=4066380,bytes=7864320
ws_KiB=512,stride=16,pattern=1,repeats=5,cycles=3753526,bytes=7864320
ws_KiB=512,stride=64,pattern=1,repeats=5,cycles=3989468,bytes=7864320
ws_KiB=512,stride=256,pattern=1,repeats=5,cycles=10136614,bytes=7864320
ws_KiB=512,stride=1,pattern=2,repeats=5,cycles=19676286,bytes=7864320
ws_KiB=512,stride=16,pattern=2,repeats=5,cycles=19610356,bytes=7864320
ws_KiB=512,stride=64,pattern=2,repeats=5,cycles=22237980,bytes=7864320
ws_KiB=512,stride=256,pattern=2,repeats=5,cycles=24295756,bytes=7864320
ws_KiB=4096,stride=1,pattern=0,repeats=5,cycles=6654446,bytes=62914560
ws_KiB=4096,stride=16,pattern=0,repeats=5,cycles=7245232,bytes=62914560

